Region,City,ZipCode,Population,HouseholdSize,IncomeLevel,FoodType,DemandAmount,EmergencyStatus,SeasonalFactor,SupplyType,DistributionPriority
Christinaberg,Willismouth,53744,4825618,6,Low,Dairy,1000,None,Normal,Perishable,High
Gardnerfurt,Julieview,81095,3498503,5,Low,Canned Goods,1000,None,Normal,Non-Perishable,High
Danielborough,East Dawn,67728,1407926,5,Low,Canned Goods,540,None,Normal,Non-Perishable,High
Timothyville,Karenshire,82838,4429325,2,Medium,Fresh Produce,1000,Health,Normal,Perishable,Standard
East Gregoryville,Butlerbury,10665,2127604,3,Medium,Fresh Produce,1000,None,BackToSchool,Perishable,Standard
East David,Garychester,48574,1455168,6,Low,Dairy,1000,Weather,Normal,Perishable,High
Lopezburgh,Ethanfurt,62669,738070,3,High,Dry Goods,1000,None,Summer,Non-Perishable,Standard
Port Joburgh,East Keithtown,94240,857158,1,High,Canned Goods,104,Weather,Normal,Non-Perishable,Standard
West Mary,Port Tara,44035,392991,3,Medium,Dairy,1000,None,Normal,Perishable,Standard
Navarrostad,New Lisamouth,78732,261455,5,High,Dry Goods,776,None,Normal,Non-Perishable,Standard
Brentview,Port Austin,04022,507954,4,Low,Canned Goods,1000,None,Normal,Non-Perishable,High
Jerrymouth,Christinehaven,97662,994888,4,High,Fresh Produce,1000,Health,Normal,Perishable,Standard
Port Jennifer,South Maria,27762,267208,2,Medium,Fresh Produce,921,None,Normal,Perishable,Standard
Sarahport,Johnsonstad,80090,249382,4,Medium,Dry Goods,966,Health,Summer,Non-Perishable,Standard
Chadstad,Lake Deniseside,77042,714233,1,Low,Dry Goods,1000,None,Summer,Non-Perishable,Medium
Wolfebury,West Jennifer,58228,953591,5,High,Canned Goods,1000,Economic,Normal,Non-Perishable,Standard
Markmouth,Kathytown,27604,777043,3,High,Meat/Poultry,1000,Health,Normal,Perishable,Standard
Williamshaven,Terryborough,94722,575644,5,Medium,Fresh Produce,1000,Economic,Holiday,Perishable,Standard
Port Jamesstad,Steinbury,09331,303921,6,Low,Meat/Poultry,1000,None,Normal,Perishable,High
East Charleschester,New Michaelhaven,91613,808350,2,Medium,Fresh Produce,1000,Weather,Normal,Perishable,Standard
Snyderberg,Port Alejandroland,32316,454802,5,High,Dairy,143,None,Summer,Perishable,Standard
West Brianshire,Angelaton,07514,451652,4,Low,Dry Goods,1000,None,Normal,Non-Perishable,High
Nicoleberg,Teresaborough,17601,539835,4,Low,Dry Goods,1000,Health,BackToSchool,Non-Perishable,High
Brownside,Kimview,32611,942170,4,Low,Dairy,1000,None,Normal,Perishable,High
Petertown,Gardnershire,41118,257124,4,Medium,Dry Goods,1000,None,Normal,Non-Perishable,Standard
East James,Amandabury,82728,481358,1,Low,Dairy,1000,None,Normal,Perishable,Medium
Lindaberg,North Kimview,56356,686530,5,Low,Fresh Produce,1000,None,Normal,Perishable,High
Jacquelinemouth,North Peter,68172,498693,1,Low,Dry Goods,938,None,Normal,Non-Perishable,Medium
New Martinberg,Millerport,77621,387415,5,High,Dairy,1000,None,Normal,Perishable,Standard
Port Brucebury,Cainfort,50486,421816,2,Medium,Dry Goods,510,Economic,Normal,Non-Perishable,Standard
Jameschester,Simpsonside,13382,393036,6,Low,Fresh Produce,1000,None,Normal,Perishable,High
Port Willie,North Michaelland,51227,339143,3,Medium,Fresh Produce,193,None,Normal,Perishable,Standard
Ritamouth,Port Brian,37436,548546,5,Low,Canned Goods,1000,None,BackToSchool,Non-Perishable,High
New Jasonside,Garciamouth,62327,335117,6,High,Dairy,289,None,Normal,Perishable,Standard
Garciatown,South Erinport,11788,309731,1,Low,Meat/Poultry,228,None,Normal,Perishable,Medium
Coxburgh,East Michaelmouth,06195,937611,6,High,Fresh Produce,1000,None,Summer,Perishable,Standard
Port Josephberg,East Christina,90576,820750,1,High,Canned Goods,826,None,Normal,Non-Perishable,Standard
Lake Michael,Port Stephanieton,14503,949999,1,Low,Fresh Produce,499,None,BackToSchool,Perishable,Medium
East Abigailburgh,Port Amy,37618,289477,4,Medium,Meat/Poultry,1000,None,Summer,Perishable,Standard
Davistown,Morrisonborough,66579,936086,4,Low,Meat/Poultry,1000,None,Holiday,Perishable,High
Anthonyview,North Jeffreymouth,39354,356083,6,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
Austinside,Lake Donald,41932,743744,4,Low,Canned Goods,1000,Economic,Holiday,Non-Perishable,High
Burgesston,Angelaview,26592,763944,5,Low,Meat/Poultry,1000,None,Normal,Perishable,High
North Connietown,Millerton,99764,608214,1,Low,Dairy,309,None,Normal,Perishable,Medium
West Meganside,West Jacksonfurt,93635,625449,5,Medium,Canned Goods,1000,None,Summer,Non-Perishable,Standard
West Francis,Garrettton,29814,793370,2,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
Loriside,East Brandy,09224,861596,1,High,Meat/Poultry,1000,None,Normal,Perishable,Standard
Hamiltonport,East Krystalview,90101,866964,2,Medium,Meat/Poultry,599,None,Normal,Perishable,Standard
Robinside,Port Katherineshire,22119,744177,5,Low,Canned Goods,1000,None,Normal,Non-Perishable,High
Wilkersonland,Laurieborough,96805,993869,4,Medium,Fresh Produce,1000,None,Normal,Perishable,Standard
Madisontown,North Catherineborough,52915,736257,4,Low,Dry Goods,1000,None,Normal,Non-Perishable,High
East Aaronbury,Zamoraside,04210,526866,2,High,Meat/Poultry,1000,None,Summer,Perishable,Standard
Blakeview,East Michaelbury,83134,623195,2,Low,Canned Goods,1000,None,Summer,Non-Perishable,Medium
Courtneyfort,Brownstad,63217,439666,6,High,Fresh Produce,1000,None,Normal,Perishable,Standard
Lake Kellytown,New Alexander,75780,656886,2,High,Dry Goods,1000,None,Normal,Non-Perishable,Standard
South Shannon,East Jennifer,25745,964073,1,Medium,Dry Goods,821,None,Normal,Non-Perishable,Standard
Port Jordanport,East Michaeltown,89543,233198,4,Low,Canned Goods,1000,Health,Holiday,Non-Perishable,High
New Dawnstad,Amandaton,60286,382920,4,Medium,Meat/Poultry,1000,None,BackToSchool,Perishable,Standard
Rodriguezfurt,Brewerhaven,44132,626726,2,Low,Canned Goods,1000,Weather,BackToSchool,Non-Perishable,Medium
Paulaton,Sanchezland,49653,942433,2,Medium,Dry Goods,1000,None,Normal,Non-Perishable,Standard
Porterview,Lake Sean,37607,849548,2,Low,Dairy,484,Economic,Normal,Perishable,Medium
New Amanda,Rubenfort,39062,857644,1,Low,Canned Goods,1000,Economic,Normal,Non-Perishable,Medium
East William,Whitefort,79158,858196,1,Medium,Dairy,923,None,Normal,Perishable,Standard
West Gregory,Ponceberg,70475,415021,3,Low,Dry Goods,1000,Health,Normal,Non-Perishable,Medium
Jacquelineton,Lake Justinmouth,17277,726671,2,Low,Dairy,1000,None,Normal,Perishable,Medium
Weaverborough,Whiteburgh,85412,781143,3,Medium,Meat/Poultry,1000,None,Normal,Perishable,Standard
South Shaneshire,Robertsonview,84660,988813,3,Low,Fresh Produce,1000,None,Normal,Perishable,Medium
East Christopher,Sheilachester,52901,293047,3,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
Kimside,Lake Laura,99216,653232,4,High,Meat/Poultry,1000,None,Normal,Perishable,Standard
Jasmineberg,Rogersbury,45055,812780,1,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
Smithland,Davidtown,54137,787985,2,Medium,Dry Goods,1000,None,Normal,Non-Perishable,Standard
West Benjaminmouth,East Ralph,67721,277109,6,Medium,Fresh Produce,1000,Economic,Normal,Perishable,Standard
Mathewsburgh,Port Tonyamouth,39588,720456,3,High,Dry Goods,859,Economic,BackToSchool,Non-Perishable,Standard
Lake Tracy,Port Claudiaborough,29637,670105,6,Low,Dry Goods,924,None,Normal,Non-Perishable,High
Johnchester,West Johnbury,80259,834274,6,Low,Meat/Poultry,1000,None,Normal,Perishable,High
Cunninghamton,North Johnside,25328,638930,2,Medium,Canned Goods,432,None,Normal,Non-Perishable,Standard
New Danielhaven,Danieltown,59746,615970,4,Medium,Fresh Produce,1000,None,Holiday,Perishable,Standard
South Kirstentown,North Emily,43381,449955,2,High,Meat/Poultry,1000,None,Summer,Perishable,Standard
Wallaceburgh,Ayersburgh,56439,461157,3,Medium,Dairy,1000,Economic,BackToSchool,Perishable,Standard
Hendersonhaven,Justinville,65413,912369,2,Low,Canned Goods,1000,None,Summer,Non-Perishable,Medium
Jacksonhaven,Alexandraberg,35042,288852,1,Low,Meat/Poultry,1000,None,Holiday,Perishable,Medium
New Josefort,West Kelsey,61475,720121,5,High,Canned Goods,765,Economic,Normal,Non-Perishable,Standard
East David,South Monica,05520,311023,6,Low,Dairy,656,None,Normal,Perishable,High
West Derek,Lake John,00667,789055,3,Low,Dairy,1000,None,Normal,Perishable,Medium
East Autumn,Wilsonstad,14589,214220,3,Low,Dry Goods,156,None,Normal,Non-Perishable,Medium
Teresaview,Perezburgh,29087,903177,3,Low,Canned Goods,323,None,Normal,Non-Perishable,Medium
Port Michaelmouth,Hamiltonview,61560,246648,6,Low,Dairy,1000,None,Normal,Perishable,High
Thomaschester,Emilyville,95067,687802,5,Low,Dairy,1000,Weather,Normal,Perishable,High
West Dwayne,Lake Amberview,77211,417469,2,Medium,Meat/Poultry,232,None,Normal,Perishable,Standard
East Susantown,Jeffreyhaven,91426,278442,5,Low,Canned Goods,1000,Economic,Summer,Non-Perishable,High
East Ashleyton,Esparzamouth,69980,976885,2,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
North Williammouth,Keithchester,65058,528761,1,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
Mitchellville,North Cathy,97432,284975,6,Medium,Meat/Poultry,1000,Health,Normal,Perishable,Standard
West Nichole,Port Tony,72200,508215,1,Low,Meat/Poultry,1000,Health,Summer,Perishable,Medium
New Tina,Thomasside,04627,568983,3,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
Smithborough,South Ryan,90853,498445,2,High,Meat/Poultry,1000,Economic,Holiday,Perishable,Standard
Howardport,East Alan,51645,486409,3,Low,Canned Goods,1000,None,Summer,Non-Perishable,Medium
Aguilarfort,West Daniel,47757,974606,1,Low,Dry Goods,1000,None,Summer,Non-Perishable,Medium
Kevintown,Charlottefurt,31479,240378,5,Medium,Dairy,1000,None,Holiday,Perishable,Standard
South Daniel,Zamorabury,56991,760647,4,High,Fresh Produce,708,None,Holiday,Perishable,Standard
Ortizmouth,Geraldmouth,23987,600771,6,Low,Fresh Produce,506,None,Normal,Perishable,High
New Megan,South Jeffery,93934,217932,6,Medium,Dry Goods,1000,Health,Holiday,Non-Perishable,Standard
Port Andrewberg,Millshaven,25996,808855,4,Low,Fresh Produce,1000,Economic,Summer,Perishable,High
South Scott,New Johnfort,08133,449651,4,Medium,Canned Goods,1000,None,BackToSchool,Non-Perishable,Standard
North Nathan,Lake Melvin,23305,296821,5,Medium,Dairy,1000,Health,Normal,Perishable,Standard
Lake Pamela,Zacharyside,46164,806976,3,Low,Dry Goods,1000,None,Normal,Non-Perishable,Medium
Ricardoview,Beasleychester,07426,582792,5,Low,Fresh Produce,1000,Health,Holiday,Perishable,High
North Tracy,Browntown,65909,339849,6,High,Dry Goods,1000,None,Normal,Non-Perishable,Standard
Katrinaside,Margaretmouth,19918,968480,4,Low,Meat/Poultry,1000,None,Normal,Perishable,High
Amberside,Port Emmaside,65865,955467,6,Medium,Dry Goods,1000,Economic,Summer,Non-Perishable,Standard
New Keithmouth,Henrybury,99284,544910,5,Low,Canned Goods,1000,Weather,Normal,Non-Perishable,High
Deniseborough,Lindsayfurt,72077,646877,2,Low,Dry Goods,1000,None,BackToSchool,Non-Perishable,Medium
Mahoneyshire,North Robinbury,07333,425348,3,Medium,Canned Goods,1000,None,BackToSchool,Non-Perishable,Standard
New Joshuaton,Wattsshire,70898,324603,3,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
West Richard,New Todd,59581,902441,2,Medium,Meat/Poultry,881,Health,Normal,Perishable,Standard
Jennifertown,Tiffanychester,32769,850904,1,Low,Dairy,1000,None,Normal,Perishable,Medium
West Kariview,West Paulamouth,16587,891719,5,Low,Dry Goods,736,None,Normal,Non-Perishable,High
Espinozaborough,North Jonathantown,90632,732200,3,High,Dairy,1000,Health,Holiday,Perishable,Standard
Natashabury,South Melissa,89636,630033,6,Low,Dry Goods,1000,Economic,Holiday,Non-Perishable,High
South Rebecca,West Melissa,45782,889471,2,Medium,Canned Goods,1000,None,Summer,Non-Perishable,Standard
Murrayland,Simpsonberg,97220,219996,1,Medium,Dry Goods,646,None,Normal,Non-Perishable,Standard
Port Jessicafurt,Ewingfurt,44079,552489,3,Medium,Dry Goods,1000,Health,Normal,Non-Perishable,Standard
West Arthurhaven,Mathewsmouth,20463,847312,6,Low,Canned Goods,1000,Weather,Normal,Non-Perishable,High
Davidmouth,New Brandon,15649,870566,1,High,Canned Goods,19,None,Normal,Non-Perishable,Standard
Port Wayneport,North Shannonville,07403,318246,4,Medium,Fresh Produce,1000,None,BackToSchool,Perishable,Standard
Meyertown,West Micheleberg,45113,236989,5,Medium,Dry Goods,1000,Weather,Holiday,Non-Perishable,Standard
Krausestad,New Kathleenview,86017,352339,6,Medium,Dairy,1000,None,Normal,Perishable,Standard
Port Lauren,New Michael,99581,429876,2,High,Dry Goods,1000,None,BackToSchool,Non-Perishable,Standard
Bradyfort,Dawnborough,18794,322062,4,Low,Fresh Produce,359,None,Normal,Perishable,High
West Davidfurt,Olsenmouth,90737,548188,5,High,Fresh Produce,1000,Economic,Normal,Perishable,Standard
Jamesport,South Alexanderside,31027,528953,6,Medium,Meat/Poultry,1000,None,Summer,Perishable,Standard
North Jacquelineberg,South Brian,98550,642359,5,High,Canned Goods,1000,None,Summer,Non-Perishable,Standard
Port Travisland,West Christopherside,79248,451184,2,Medium,Fresh Produce,1000,Health,Normal,Perishable,Standard
East Pamela,New Shelby,99784,245961,5,Low,Dairy,1000,Economic,BackToSchool,Perishable,High
Sotoland,Michelleton,47623,923200,3,Low,Meat/Poultry,1000,None,Normal,Perishable,Medium
Port Saraland,Ericbury,15801,608248,3,Low,Dry Goods,1000,Health,Holiday,Non-Perishable,Medium
Jameschester,Samanthafurt,14639,972619,4,Low,Fresh Produce,1000,None,Summer,Perishable,High
Port Jennifer,West Laurieburgh,25154,972507,1,Medium,Fresh Produce,698,None,BackToSchool,Perishable,Standard
Mcdonaldberg,Port Amanda,13767,408470,2,Medium,Dry Goods,1000,None,Holiday,Non-Perishable,Standard
Matthewborough,Morganland,61996,824265,1,Medium,Fresh Produce,1000,Economic,BackToSchool,Perishable,Standard
Lake Scottmouth,Robinsonside,80757,261732,3,Medium,Dairy,640,Health,Normal,Perishable,Standard
Richardfurt,Westhaven,65350,807637,2,Low,Dry Goods,1000,None,BackToSchool,Non-Perishable,Medium
Lake Mariaside,Wendyport,33971,541017,3,Low,Dry Goods,1000,None,Normal,Non-Perishable,Medium
North Susan,Chadbury,18816,437070,6,High,Canned Goods,1000,None,Normal,Non-Perishable,Standard
Port Pamela,Villaburgh,31055,624750,1,Low,Meat/Poultry,1000,Economic,Normal,Perishable,Medium
Patriciafurt,North Michelle,90387,684766,3,Low,Dairy,1000,None,Normal,Perishable,Medium
New Jaredburgh,South Todd,31294,735021,3,Low,Dry Goods,846,None,Summer,Non-Perishable,Medium
Pageview,North Jennifer,80128,420268,1,Medium,Fresh Produce,607,Health,Normal,Perishable,Standard
Gomeztown,South Frankbury,07819,795446,2,High,Dairy,1000,Economic,Holiday,Perishable,Standard
Kristinaside,Martinborough,81943,536778,3,Low,Fresh Produce,1000,None,BackToSchool,Perishable,Medium
Gregoryshire,Lake Valerie,27448,303803,2,Medium,Meat/Poultry,1000,Economic,Normal,Perishable,Standard
New Michael,Ramosfurt,79027,527570,3,High,Canned Goods,1000,None,Summer,Non-Perishable,Standard
Melanieport,Port Christopher,06125,748445,2,High,Canned Goods,525,None,Normal,Non-Perishable,Standard
Georgemouth,Lake Amymouth,87489,366961,3,Medium,Dry Goods,1000,Economic,Normal,Non-Perishable,Standard
Lake Randychester,South Timothyfort,36148,718086,4,Medium,Dry Goods,420,None,Holiday,Non-Perishable,Standard
Jonesmouth,Christopherchester,47213,581342,4,High,Fresh Produce,1000,Economic,Normal,Perishable,Standard
North Joelland,North Michael,73841,622719,1,Medium,Meat/Poultry,1000,None,Normal,Perishable,Standard
North Lorraine,New Angela,40587,816830,6,Low,Dry Goods,1000,None,Holiday,Non-Perishable,High
West Manuel,Rodriguezton,06983,816197,2,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
North Nicholestad,East Amber,09617,944801,1,Medium,Dry Goods,957,None,Normal,Non-Perishable,Standard
West Cody,Port Anthonymouth,99809,375063,2,Low,Dry Goods,1000,None,Normal,Non-Perishable,Medium
Port Erica,Cherylmouth,85478,876614,2,Low,Meat/Poultry,1000,None,Normal,Perishable,Medium
Cherylshire,Hickshaven,83625,567862,6,Low,Fresh Produce,1000,None,BackToSchool,Perishable,High
Port Ashleytown,Lake Jimmyborough,98176,879906,6,Low,Dairy,1000,None,Summer,Perishable,High
West Jaimestad,Austinshire,20918,469538,1,Low,Dairy,712,None,Normal,Perishable,Medium
North Allisonland,West Frederick,39988,597273,1,Low,Meat/Poultry,1000,None,Normal,Perishable,Medium
East Carlosview,Connieland,47943,342538,5,High,Fresh Produce,1000,None,Normal,Perishable,Standard
Figueroafurt,Grahamhaven,72969,208570,1,Medium,Dairy,258,None,Normal,Perishable,Standard
Scottton,New Daniel,81565,870423,6,High,Dry Goods,1000,Economic,Holiday,Non-Perishable,Standard
Port Amyland,Baxterchester,73947,578489,5,Medium,Canned Goods,335,Economic,Normal,Non-Perishable,Standard
Port Jasmine,Richview,57617,891850,6,Low,Canned Goods,1000,Health,BackToSchool,Non-Perishable,High
Benjaminfort,Port Ryan,02474,770092,5,Low,Canned Goods,1000,None,Normal,Non-Perishable,High
Edwardsberg,Lake Kenneth,31798,494215,4,Low,Canned Goods,1000,None,BackToSchool,Non-Perishable,High
East Ralph,Johnsonland,53216,492721,1,Medium,Meat/Poultry,758,None,Holiday,Perishable,Standard
Starkburgh,East Joshua,38831,921012,6,Low,Dry Goods,1000,None,Summer,Non-Perishable,High
Lopezton,Frankberg,88838,331725,1,Medium,Dry Goods,793,None,Normal,Non-Perishable,Standard
Courtneyville,North Jennifer,17773,554904,1,Medium,Dairy,1000,Economic,Summer,Perishable,Standard
West Janicebury,North David,73310,862743,5,Low,Fresh Produce,1000,Economic,BackToSchool,Perishable,High
Port Jamesfort,Ivanstad,30593,670968,5,High,Dry Goods,376,Health,Holiday,Non-Perishable,Standard
Port Peterside,New Marybury,86589,681236,1,High,Dairy,1000,Weather,Normal,Perishable,Standard
Lake Jilltown,East Codytown,93932,726212,6,Medium,Dairy,1000,None,BackToSchool,Perishable,Standard
Prestonton,Lake Robert,54701,980307,2,Low,Fresh Produce,1000,Weather,Normal,Perishable,Medium
Lake Karenton,Port Victoria,58671,535470,3,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
South Shannon,Spencerland,30568,489818,1,High,Canned Goods,1000,None,BackToSchool,Non-Perishable,Standard
Nicholsonshire,Johnsside,84492,255615,1,Medium,Dairy,661,None,Normal,Perishable,Standard
New Scott,Courtneyton,68625,646911,3,Medium,Dry Goods,648,None,BackToSchool,Non-Perishable,Standard
Port Brenda,Fryeview,25197,844038,2,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
Port Joy,Ericborough,82810,593638,1,Low,Dairy,1000,Health,Summer,Perishable,Medium
West Lisashire,New Alicia,65515,910656,5,Medium,Dairy,1000,Weather,BackToSchool,Perishable,Standard
New Emily,South Barry,51855,552484,5,Medium,Dairy,1000,Economic,Normal,Perishable,Standard
East Kelli,Port Johnathanfurt,95099,780066,1,Medium,Dairy,588,None,Normal,Perishable,Standard
Aaronbury,Raymondmouth,38365,747732,1,Medium,Fresh Produce,1000,Health,Holiday,Perishable,Standard
New Kimberly,Stephanieville,27221,799264,3,Low,Fresh Produce,1000,None,Summer,Perishable,Medium
East Nicholas,North Curtis,23385,653650,6,Medium,Dry Goods,1000,None,Normal,Non-Perishable,Standard
South Nicholas,Port Loribury,44011,433194,6,High,Dry Goods,617,None,Summer,Non-Perishable,Standard
New Christy,East Juanport,01337,901770,4,Medium,Dairy,1000,None,Normal,Perishable,Standard
Woodwardport,South Shannonville,91066,379452,2,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
East Christopher,North Andrew,53392,560652,1,Medium,Dairy,1000,None,Normal,Perishable,Standard
Oconnorland,New Courtneyhaven,27222,485061,6,High,Dry Goods,1000,None,Holiday,Non-Perishable,Standard
Davidfurt,Ashleyport,49037,732724,2,Medium,Fresh Produce,1000,None,Holiday,Perishable,Standard
East Angelaborough,East Paulside,68194,460743,1,Medium,Meat/Poultry,1000,None,Normal,Perishable,Standard
Kimberlyshire,Georgeborough,43352,277350,5,High,Dry Goods,76,Weather,BackToSchool,Non-Perishable,Standard
Mitchellside,East Tricia,12389,739713,6,High,Canned Goods,1000,None,Summer,Non-Perishable,Standard
Port Valerie,New Donnaport,83019,935804,1,Medium,Fresh Produce,152,None,Normal,Perishable,Standard
Guerreroberg,Christineshire,33309,653108,5,Low,Fresh Produce,1000,None,Holiday,Perishable,High
West Mary,Smithchester,71432,725092,6,Medium,Fresh Produce,1000,None,Summer,Perishable,Standard
East Timothyland,Steventon,62973,636507,6,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
Port Mariaton,North Catherine,53081,579050,1,Medium,Dairy,1000,None,Normal,Perishable,Standard
Lake Elizabeth,Garciaville,83481,620091,3,Medium,Fresh Produce,1000,None,Normal,Perishable,Standard
Jeannetown,South Brian,12404,335963,1,Low,Dairy,1000,None,BackToSchool,Perishable,Medium
Hallfurt,South Kelly,50594,817681,4,Medium,Dairy,1000,Health,Normal,Perishable,Standard
Andersonborough,Lauraside,24975,532325,5,Low,Dairy,1000,None,Holiday,Perishable,High
Kevinview,North John,14668,371567,1,High,Dry Goods,888,None,Normal,Non-Perishable,Standard
East Jessica,Campbellhaven,21491,357866,4,Low,Canned Goods,1000,None,Normal,Non-Perishable,High
Charlesshire,Brendaburgh,27834,499688,1,Low,Meat/Poultry,1000,Weather,Normal,Perishable,Medium
South Brandonchester,Lake Mariahport,75162,705055,1,Low,Meat/Poultry,448,None,Normal,Perishable,Medium
East Krystaltown,South Marthaland,34284,564730,2,Medium,Dairy,1000,Economic,Summer,Perishable,Standard
East Mark,Christopherfurt,83493,267693,5,Medium,Fresh Produce,1000,Weather,Holiday,Perishable,Standard
Russoburgh,Lindafurt,85529,604687,2,Medium,Fresh Produce,1000,Economic,Holiday,Perishable,Standard
West Jeremyberg,Lake Kimberlyshire,50007,679764,5,Low,Dry Goods,1000,Economic,Normal,Non-Perishable,High
Murphyborough,Janetstad,22711,598820,1,Low,Dry Goods,1000,None,Normal,Non-Perishable,Medium
New Peter,West Brenda,87752,627246,3,Low,Dry Goods,740,Health,Normal,Non-Perishable,Medium
Lake Melvin,Markstad,79334,745005,1,Low,Dry Goods,1000,Health,Normal,Non-Perishable,Medium
Lake Amanda,Spencerborough,46131,412614,5,Medium,Meat/Poultry,1000,None,Holiday,Perishable,Standard
Garciashire,New Melissaberg,78271,423645,6,Medium,Dairy,1000,Economic,Holiday,Perishable,Standard
North Lindseychester,Lake Heatherbury,70510,446557,4,Low,Meat/Poultry,1000,None,Summer,Perishable,High
Sarahfurt,West Carriefurt,72665,815293,3,Medium,Dry Goods,1000,Economic,Normal,Non-Perishable,Standard
South Kristie,Lake Michaelstad,24339,505523,1,High,Dry Goods,1000,Health,Normal,Non-Perishable,Standard
South Ashley,Williamfort,90010,230696,2,Medium,Dairy,633,None,Normal,Perishable,Standard
East Raymond,West Heatherborough,55470,769214,3,Medium,Fresh Produce,1000,None,Summer,Perishable,Standard
Adkinsmouth,Nunezville,17241,382061,4,Medium,Fresh Produce,1000,Health,Summer,Perishable,Standard
Aaronberg,Brownburgh,59961,788537,6,Medium,Dry Goods,1000,None,Summer,Non-Perishable,Standard
North Samantha,Hannahstad,80727,823316,4,Medium,Dry Goods,1000,None,Normal,Non-Perishable,Standard
North Debraside,North Samanthafurt,82899,312816,6,Low,Dairy,1000,None,Normal,Perishable,High
North Aaron,Allenmouth,96737,702686,6,High,Meat/Poultry,1000,None,Normal,Perishable,Standard
New Lisa,Jacksonburgh,97248,469908,2,High,Meat/Poultry,1000,None,Normal,Perishable,Standard
Port Paulshire,Deanview,79327,536244,1,Low,Dairy,1000,Health,Summer,Perishable,Medium
Port Kristinmouth,Krystalside,12879,712781,2,Medium,Meat/Poultry,795,None,Normal,Perishable,Standard
New Adammouth,Port Richard,03616,356783,2,Low,Dairy,1000,Weather,Normal,Perishable,Medium
North Elizabeth,Bondmouth,28783,919666,3,Medium,Fresh Produce,1000,Economic,Summer,Perishable,Standard
East Shelby,South Drewberg,59983,385350,6,Low,Fresh Produce,1000,Economic,Holiday,Perishable,High
Lake Lindseyhaven,South Patrick,77187,672191,2,Medium,Canned Goods,1000,Health,Normal,Non-Perishable,Standard
Lake Maureenhaven,Lake Benjaminton,11835,711339,1,Medium,Meat/Poultry,1000,None,Normal,Perishable,Standard
New Scott,Richardsonview,70683,425320,1,Medium,Dry Goods,624,None,Normal,Non-Perishable,Standard
Port Karenside,Lake Jamesfurt,89141,630145,4,Medium,Fresh Produce,1000,None,Summer,Perishable,Standard
North Krystal,Suttonfurt,30168,409878,5,Low,Canned Goods,1000,None,Normal,Non-Perishable,High
South Matthew,North Cassandra,54071,579286,3,High,Dry Goods,1000,Weather,Normal,Non-Perishable,Standard
South Christopherberg,North Elaine,06076,684487,5,Low,Dry Goods,977,None,Normal,Non-Perishable,High
West Thomasberg,Janiceville,34333,779130,2,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
West Deborahside,East Melissaborough,50681,373094,6,Low,Dairy,1000,None,Normal,Perishable,High
New Keith,Port Aprilland,78786,209443,5,Low,Dairy,1000,None,Holiday,Perishable,High
North Joel,Williamsborough,95895,224410,4,High,Fresh Produce,297,None,Normal,Perishable,Standard
Sandyville,Tanyabury,34307,622076,6,Medium,Fresh Produce,1000,Weather,Normal,Perishable,Standard
Smithhaven,Tuckerstad,19317,600092,2,Medium,Canned Goods,1000,None,Normal,Non-Perishable,Standard
Angelashire,South Moniqueberg,01777,550063,2,Low,Dry Goods,1000,None,BackToSchool,Non-Perishable,Medium
Maureenberg,Jenniferbury,30929,611356,2,Low,Fresh Produce,1000,Economic,Normal,Perishable,Medium
Lake Dannyton,Whiteport,37040,585994,2,Medium,Meat/Poultry,181,None,Summer,Perishable,Standard
Weststad,Port Joseph,08042,799733,4,High,Canned Goods,959,None,Normal,Non-Perishable,Standard
Port John,Mirandaland,24325,809998,5,Low,Meat/Poultry,1000,None,Normal,Perishable,High
Davidchester,Sandrabury,92626,297270,2,Medium,Meat/Poultry,1000,None,Normal,Perishable,Standard
New Destiny,North Lonniefurt,91979,534539,2,Low,Canned Goods,1000,None,Normal,Non-Perishable,Medium
West Angel,Samuelport,34230,522266,1,Medium,Fresh Produce,1000,None,Normal,Perishable,Standard
Port Charlesshire,Marybury,57903,789291,3,Medium,Fresh Produce,1000,None,Normal,Perishable,Standard
Kelseyport,New Mark,33500,342822,1,Medium,Fresh Produce,1000,None,BackToSchool,Perishable,Standard
East Carmen,West Alexandra,96877,207232,5,High,Fresh Produce,1000,Economic,Normal,Perishable,Standard
Williamsville,Port Laurafurt,91983,493351,6,High,Canned Goods,739,None,Normal,Non-Perishable,Standard
Port Madisonmouth,South Kevin,33569,869361,3,Low,Fresh Produce,762,None,Normal,Perishable,Medium
New Pattymouth,Lake Sheilaburgh,45231,681846,2,High,Fresh Produce,282,None,Normal,Perishable,Standard
